category,severity,file,line,excerpt,recommendation,status
Temporal,High,_docs/_contributing/local_environment.md,91,"As of writing, all software is free of cost.",Remove temporal anchor: "All listed software is free of cost."; date-stamp only if volatile,pending
Temporal,High,_docs/_user_guide/message_building_by_channel/whatsapp/meta_resources.md,74,"Beginning now, ahead of the holiday season, people in the US will receive fewer new marketing conversations.",Rewrite: "Meta is reducing the number of marketing conversations US users receive during the holiday season."; remove "now" and "new",pending
Temporal,High,_docs/_user_guide/message_building_by_channel/whatsapp/meta_resources.md,91,"the account will eventually be offboarded.",Replace "will eventually be" → "may be" if conditional with criteria; else specify condition and timeline,pending
Temporal,High,_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/future_anthem.md,15,"This feature is currently in Early Access.",Use: "This feature is in Early Access."; optionally add "As of Nov 2025",pending
Temporal,Medium,_docs/_partners/ecommerce/tapcart.md,33,"features are not currently supported",Remove "currently": "The following features are not supported:",pending
Temporal,High,_docs/_partners/additional_channels_and_extensions/additional_channels/advertising/liveramp.md,125,"Currently, this application is only available...",Drop "Currently": "This application is only available..."; add region list version/date if needed,pending
Temporal,High,_docs/_partners/data_and_analytics/loyalty/eagleeye.md,116,"Currently, inbound and outbound connectors can only be set up via API...",Rewrite: "Inbound and outbound connectors can only be set up via API with support from the Eagle Eye team.",pending
Temporal,High,_reports/style_guide_compliance_audit.md,10,"Temporal/outdated phrasing",No remediation (report artifact); ignore,pending
Temporal,Medium,_docs/_releases/2024/6_25_24.md,12,"We now support the Japanese language for Braze Docs!",Rewrite release note: "Braze Docs adds support for the Japanese language." (Release context retains date),pending
Temporal,Medium,_docs/_releases/2024/6_25_24.md,40,"The new Engagement by Device report",Remove "new": "The Engagement by Device report",pending
Temporal,Medium,_docs/_releases/2023/6_27_23.md,33,"is currently in early access",Rewrite: "is in early access",pending
Trivializing,Medium,_reports/style_guide_compliance_audit.md,37,"Pattern: simple|simply|just|easy.",Artifact—no change,pending
Trivializing,Medium,_reports/style_guide_compliance_audit.md,38,"Just add the header to authenticate.",Rewrite example already present; ensure source docs changed,pending
Trivializing,Medium,_docs/_partners/canvas_audience_sync/facebook_audience_sync.md,161,"You can simply disconnect and reconnect...",Remove "simply": "Disconnect and reconnect...",pending
Trivializing,Medium,_docs/_releases/2024/6_25_24.md,22,"now supports attachments (just like...)",Remove "just": "now supports attachments (like...)",pending
Trivializing,Low,.github/copilot-instructions.md,209,"simple, like 'Creating a campaign is simple.'",Instruction example—leave,pending
Trivializing,Low,.github/copilot-instructions.md,210,"simply, like '...simply add X'",Instruction example—leave,pending
Trivializing,Low,.github/copilot-instructions.md,211,"just, like '...just install X'",Instruction example—leave,pending
Trivializing,Low,.github/copilot-instructions.md,212,"'It’s easy'",Instruction example—leave,pending
Ableist/Biased,High,_help/help_articles/api/webhook_connected_content_errors.md,142,"may be causing the target host to struggle.",Rewrite: "may be causing performance degradation on the target host.",pending
Ableist/Biased,High,_user_guide/personalization_and_dynamic_content/connected_content/making_an_api_call.md,52,"may be causing the target host to struggle.",Rewrite: "may be causing performance degradation on the target host.",pending
Ableist/Biased,Medium,_partners/message_personalization/dynamic_content/visual_and_interactive_content/future_anthem.md,86,"Crazy Time",Proper noun—add to allowlist,no-action
Ableist/Biased,Low,.github/copilot-instructions.md,238,"crazy",Instruction list—retain,no-action
Ableist/Biased,Low,.github/copilot-instructions.md,242,"struggle",Instruction—retain,no-action
Contradiction,Critical,_lang/fr_fr/_api/endpoints/messaging/schedule_messages/post_schedule_triggered_canvases.md,51,"'broadcast': (optional, boolean)... must be set to true if 'recipients' object is omitted",Decision table clarifying mutually exclusive conditions,pending
Contradiction,High,_lang/fr_fr/_api/endpoints/templates/content_blocks_templates/post_update_content_block.md,38,"name: (optional) Must be less than 100 characters",Rephrase: "name (string). Maximum 100 characters. Omit to keep current name.",pending
Contradiction,High,_lang/fr_fr/_api/endpoints/templates/content_blocks_templates/post_update_content_block.md,42,"tags: (optional) Tags must already exist",Clarify: "tags (array of strings). Include only existing tags.",pending
Passive,Medium,_partners/canvas_audience_sync/facebook_audience_sync.md,106,"Braze will create the new custom audience",Active voice: "Braze creates the new custom audience when the Canvas launches.",pending
Passive,Medium,_partners/canvas_audience_sync/facebook_audience_sync.md,128,"will be created, and users... will be passed",Rewrite: "Braze creates the custom audience and passes users...",pending
Passive,Medium,_partners/canvas_audience_sync/facebook_audience_sync.md,213,"Braze can sync users",Active voice: "Braze syncs users",pending
Passive,Medium,_api/endpoints/messaging/live_activity/start.md,114,"status code is returned",Rewrite: "The API returns status code 201 for a properly formatted request.",pending
Passive,Low,_reports/style_guide_compliance_audit.md,76,"Values are configured in the dashboard",Already addressed example—ensure source docs updated,pending
Temporal,High,_api/endpoints/cdi/get_job_sync_status.md,94,"The job is currently running.",Rewrite: "The job is running.",pending
Temporal,High,_api/endpoints/cdi/post_job_sync.md,63,"There is a sync currently running",Rewrite: "A sync is running for this integration.",pending
Temporal,Medium,_partners/canvas_audience_sync/facebook_audience_sync.md,144,"Users Pending ... currently being processed",Remove "currently": "Number of users being processed...",pending
Temporal,Medium,_partners/canvas_audience_sync/facebook_audience_sync.md,166,"Make sure you have selected... entered a name...",Instruction unaffected; no temporal word—(remove from temporal category),review
Passive,Low,_partners/ecommerce/tapcart.md,14,"integration is maintained by Tapcart",Accept passive (attribution); no change,no-action
Note,Low,_reports/style_guide_compliance_audit.md,42,"Matches: 'blind', 'struggle', 'victim'",Report artifact—no change,no-action
Passive,Low,_partners/data_and_analytics/loyalty/eagleeye.md,14,"integration is maintained by Eagle Eye",Accept passive; no change,no-action
Temporal,Medium,_partners/ecommerce/shopify/shopify_overview.md,88,"will not change",Rewrite: "does not change",pending
Passive,Medium,_partners/ecommerce/shopify/shopify_overview.md,121,"Braze will create a user profile",Rewrite: "Braze creates a user profile",pending
Temporal,Medium,_partners/ecommerce/shopify/shopify_overview.md,129,"will help ensure",Rewrite: "helps ensure",pending
Passive,Medium,_partners/ecommerce/shopify/shopify_overview.md,132,"will help ensure",Rewrite part of previous remediation,merged
Temporal,Medium,_releases/2024/2_6_24.md,88,"is designed for",Keep (present state, acceptable),no-action
Passive,Low,_partners/ecommerce/shopify/shopify_overview.md,111,"Braze receives an inbound Shopify webhook",Accept (describes system event),no-action
Passive,Low,_partners/ecommerce/shopify/shopify_overview.md,112,"Braze creates a user profile",Already active; no change,done
Ableist/Biased,Medium,_reports/style_guide_compliance_audit.md,74,"blind spot",Ensure replacements applied in docs,pending
Passive,Medium,_partners/message_personalization/dynamic_content/visual_and_interactive_content/movable_ink/customer_data_api.md,142,"events can be recorded",Consider active: "Braze can record events",pending
Temporal,Medium,_partners/message_personalization/dynamic_content/visual_and_interactive_content/movable_ink/customer_data_api.md,236,"timestamp of 'now'",Leave (code comment context),no-action
Passive,Medium,_partners/message_personalization/dynamic_content/visual_and_interactive_content/movable_ink/customer_data_api.md,231,"is used as the anonymous_id",Active: "Use a hashed email address as the `anonymous_id`",pending
Ableist/Biased,High,_help/help_articles/api/webhook_connected_content_errors.md,142,"to struggle",Duplicate of earlier; merge entries,merged
Ableist/Biased,High,_user_guide/personalization_and_dynamic_content/connected_content/making_an_api_call.md,52,"to struggle",Duplicate; merge,merged
Temporal,Medium,_api/endpoints/messaging/live_activity/start.md,68,"marked as outdated",Add clarity if needed; acceptable present passive,state-ok
Contradiction,Critical,_api/endpoints/messaging/live_activity/start.md,70-72,"Optional if ... is provided",Convert to table clarifying required combinations,pending
Passive,Medium,_api/endpoints/messaging/live_activity/start.md,69,"is included",Rewrite conditional: "If you include a `notification` and the user is active...",pending
Temporal,Medium,_api/endpoints/messaging/live_activity/start.md,70,"Maximum 50 external user IDs.",Accept; no change,no-action
Passive,Medium,_api/endpoints/messaging/live_activity/start.md,114,"is returned",Already scheduled for rewrite earlier,duplicate
Temporal,Medium,_partners/data_and_analytics/ab_testing/vwo.md,105,"Currently, this integration doesn't support",Rewrite: "This integration does not support real-time sync...",pending
Temporal,Medium,_partners/ecommerce/shopify/shopify_overview.md,75,"isn't accessible",Accept contraction; not temporal,review
Passive,Low,_hidden/other/support_contact.md,1200,"will respond",Rewrite only if moving to present: "responds"; evaluate context,pending
Temporal,Medium,_hidden/other/support_contact.md,1200,"will respond",Same line as above; combined remediation,pending
Passive,Low,_reports/style_guide_compliance_audit.md,73,"Trivializers: 'just' → (remove)",Artifact—no change,no-action
Passive,Low,_reports/style_guide_compliance_audit.md,76,"Configure values in the dashboard.",Active already; no change,done
Ableist/Biased,Medium,_reports/style_guide_compliance_audit.md,74,"struggles",Ensure replacement in source docs,pending
