priority_phase,nav_title,assigned_writer,Column 4,work_type,proposed_section,current_path,proposed_path,annotation,redirect_needed,pr_branch,notes
0 - Foundation,Home,Bre,PR merged,rename + redirect,Home,_docs/_user_guide/introduction.md,_docs/_user_guide/home.md,,yes,https://github.com/braze-inc/braze-docs/pull/12040,
0 - Foundation,Get started,Bre,PR merged,move + redirect,Get started,_docs/_user_guide/getting_started/braze_overview.md,_docs/_user_guide/get_started.md,"Braze overview becomes landing page for ""Get started"" section",yes,https://github.com/braze-inc/braze-docs/pull/12041,
0 - Foundation,Users and segments,Bre,PR merged,move + redirect,Get started > Users and segments,_docs/_user_guide/getting_started/users_segments.md,_docs/_user_guide/get_started/users_and_segments.md,,yes,https://github.com/braze-inc/braze-docs/pull/12042,
0 - Foundation,Campaigns and Canvases,Bre,PR merged,move + redirect,Get started > Campaigns and Canvases,_docs/_user_guide/getting_started/campaigns_canvases.md,_docs/_user_guide/get_started/campaigns_and_canvases.md,,yes,https://github.com/braze-inc/braze-docs/pull/12043,
0 - Foundation,Workspaces,Bre,PR merged,move + redirect,Get started > Workspaces,_docs/_user_guide/getting_started/workspaces.md,_docs/_user_guide/get_started/workspaces.md,,yes,https://github.com/braze-inc/braze-docs/pull/12044,
0 - Foundation,Integrations,Bre,PR merged,move + redirect,Get started > Integrations,_docs/_user_guide/getting_started/integration.md,_docs/_user_guide/get_started/integrations.md,,yes,https://github.com/braze-inc/braze-docs/pull/12045,
0 - Foundation,SDK overview,Bre,PR merged,move + redirect,Get started > SDK overview,_docs/_user_guide/getting_started/web_sdk.md,_docs/_user_guide/get_started/sdk_overview.md,,yes,https://github.com/braze-inc/braze-docs/pull/12046,
0 - Foundation,Terms to know,Bre,PR merged,move + redirect,Get started > Terms to know,_docs/_user_guide/getting_started/terms_to_know.md,_docs/_user_guide/get_started/terms_to_know.md,,yes,https://github.com/braze-inc/braze-docs/pull/12047,
0 - Foundation,Braze Pilot,Bre,PR merged,move + redirect,Get started > Braze Pilot,_docs/_user_guide/getting_started/braze_pilot.md,_docs/_user_guide/get_started/braze_pilot.md,,yes,https://github.com/braze-inc/braze-docs/pull/12048,
0 - Foundation,B2B use cases,Bre,PR merged,move + redirect,Get started > B2B use cases,_docs/_user_guide/getting_started/b2b_use_cases.md,_docs/_user_guide/get_started/b2b_use_cases.md,,yes,https://github.com/braze-inc/braze-docs/pull/12049,
0 - Foundation,Braze MCP server,Bre,PR merged,rename + redirect,BrazeAI > Braze MCP server,_docs/_user_guide/brazeai/mcp_server.md,_docs/_user_guide/brazeai/braze_mcp_server.md,,yes,https://github.com/braze-inc/braze-docs/pull/12050,
0 - Foundation,Intelligence Suite,Bre,PR merged,rename + redirect,BrazeAI > Intelligence Suite,_docs/_user_guide/brazeai/intelligence.md,_docs/_user_guide/brazeai/intelligence_suite.md,,yes,https://github.com/braze-inc/braze-docs/pull/12051,
0 - Foundation,Item recommendations,Bre,PR merged,rename + redirect,BrazeAI > Item recommendations,_docs/_user_guide/brazeai/recommendations.md,_docs/_user_guide/brazeai/item_recommendations.md,,yes,https://github.com/braze-inc/braze-docs/pull/12052,
0 - Foundation,Predictive Suite,Bre,PR merged,rename + redirect,BrazeAI > Predictive Suite,_docs/_user_guide/brazeai/predictive_churn.md,_docs/_user_guide/brazeai/predictive_suite/predictive_churn.md,Create a landing page for predictive suite and nest predictive churn / events under it,yes,https://github.com/braze-inc/braze-docs/pull/12053,
1 - Administer,Administer,Bre,Done,rename + redirect,Administer,_docs/_user_guide/administrative.md,_docs/_user_guide/administer.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,Renamed from administrative. Split into Personal and Global subsections.
1 - Administer,Personal,Bre,Done,create,Administer > Personal,,_docs/_user_guide/administer/personal.md,New section landing page,no,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Accessing your account,Bre,Done,merge + redirect,Administer > Personal > Accessing your account,_docs/_user_guide/administrative/access_braze/accessing_your_account.md,_docs/_user_guide/administer/personal/accessing_your_account.md,"combines ""Accessing your account"" and ""Troubleshooting Braze access""",yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,The Braze dashboard,Bre,Done,move + redirect,Administer > Personal > The Braze dashboard,_docs/_user_guide/administrative/access_braze/braze_dashboard.md,_docs/_user_guide/administer/personal/the_braze_dashboard.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Language settings,Bre,Done,move + redirect,Administer > Personal > Language settings,_docs/_user_guide/administrative/access_braze/language.md,_docs/_user_guide/administer/personal/language_settings.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Product portal,Bre,Done,move + redirect,Administer > Personal > Product portal,_docs/_user_guide/administrative/access_braze/portal.md,_docs/_user_guide/administer/personal/product_portal.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Braze support,Bre,Done,move + redirect,Administer > Personal > Braze support,_docs/_user_guide/administrative/access_braze/support.md,_docs/_user_guide/administer/personal/braze_support.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Global,Bre,Done,create,Administer > Global,,_docs/_user_guide/administer/global.md,New section landing page,no,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,User management,Bre,Done,move + redirect,Administer > Global > User management,_docs/_user_guide/message_building_by_channel/line/line_users/user_management.md,_docs/_user_guide/administer/global/user_management.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Manage Braze users,Bre,Done,move + redirect,Administer > Global > User management > Manage Braze users,_docs/_user_guide/administrative/app_settings/manage_your_braze_users.md,_docs/_user_guide/administer/global/user_management/manage_braze_users.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,Renamed file to manage_company_users.md. Removed outdated navigation alert.
1 - Administer,Permissions,Bre,Done,move + redirect,Administer > Global > User management > Permissions,_docs/_user_guide/administrative/app_settings/manage_your_braze_users/user_permissions.md,_docs/_user_guide/administer/global/user_management/permissions.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Teams,Bre,Done,move + redirect,Administer > Global > User management > Teams,_docs/_user_guide/administrative/app_settings/manage_your_braze_users/teams.md,_docs/_user_guide/administer/global/user_management/teams.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Automated user provisioning,Bre,Done,move + redirect,Administer > Global > User management > Automated user provisioning,_docs/_user_guide/administrative/app_settings/company_settings/automated_user_provisioning.md,_docs/_user_guide/administer/global/user_management/automated_user_provisioning.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Internal groups,Bre,Done,move + redirect,Administer > Global > User management > Internal groups,_docs/_user_guide/administrative/app_settings/internal_groups_tab.md,_docs/_user_guide/administer/global/user_management/internal_groups.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,SAML & single sign-on,Bre,Done,move + redirect,Administer > Global > SAML & single sign-on,_docs/_user_guide/administrative/access_braze/single_sign_on.md,_docs/_user_guide/administer/global/saml__single_sign_on.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,SAML SSO setup,Bre,Done,move + redirect,Administer > Global > SAML & single sign-on > SAML SSO setup,_docs/_user_guide/administrative/access_braze/single_sign_on/set_up.md,_docs/_user_guide/administer/global/saml__single_sign_on/saml_sso_setup.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,SAML Just-in-Time provisioning,Bre,Done,move + redirect,Administer > Global > SAML & single sign-on > SAML Just-in-Time provisioning,_docs/_user_guide/administrative/access_braze/single_sign_on/saml_jit.md,_docs/_user_guide/administer/global/saml__single_sign_on/saml_just_in_time_provisioning.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Microsoft Entra SSO,Bre,Done,move + redirect,Administer > Global > SAML & single sign-on > Microsoft Entra SSO,_docs/_user_guide/administrative/access_braze/single_sign_on/entra.md,_docs/_user_guide/administer/global/saml__single_sign_on/microsoft_entra_sso.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Okta,Bre,Done,move + redirect,Administer > Global > SAML & single sign-on > Okta,_docs/_user_guide/administrative/access_braze/single_sign_on/okta.md,_docs/_user_guide/administer/global/saml__single_sign_on/okta.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,OneLogin,Bre,Done,move + redirect,Administer > Global > SAML & single sign-on > OneLogin,_docs/_user_guide/administrative/access_braze/single_sign_on/onelogin.md,_docs/_user_guide/administer/global/saml__single_sign_on/onelogin.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Create and manage workspaces,Bre,Done,move + redirect,Administer > Global > Create and manage workspaces,_docs/_user_guide/administrative/app_settings/workspaces.md,_docs/_user_guide/administer/global/create_and_manage_workspaces.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Workspace settings,Bre,Done,create,Administer > Global > Workspace settings,,_docs/_user_guide/administer/global/workspace_settings.md,New section landing page,no,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,APIs and identifiers,Bre,Done,move + redirect,Administer > Global > Workspace settings > APIs and identifiers,_docs/_user_guide/administrative/app_settings/api_settings_tab.md,_docs/_user_guide/administer/global/workspace_settings/apis_and_identifiers.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Brand guidelines,Bre,Done,move + redirect,Administer > Global > Workspace settings > Brand guidelines,_docs/_user_guide/administrative/app_settings/brand_guidelines.md,_docs/_user_guide/administer/global/workspace_settings/brand_guidelines.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Email preferences,Bre,Done,move + redirect,Administer > Global > Workspace settings > Email preferences,_docs/_user_guide/administrative/app_settings/email_settings.md,_docs/_user_guide/administer/global/workspace_settings/email_preferences.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Logs and alerts,Bre,Done,create,Administer > Global > Workspace settings > Logs and alerts,,_docs/_user_guide/administer/global/workspace_settings/logs_and_alerts.md,New section landing page,no,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,API usage alerts,Bre,Done,move + redirect,Administer > Global > Workspace settings > Logs and alerts > API usage alerts,_docs/_user_guide/analytics/dashboard/api_usage_alerts.md,_docs/_user_guide/administer/global/workspace_settings/logs_and_alerts/api_usage_alerts.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Event user log,Bre,Done,move + redirect,Administer > Global > Workspace settings > Logs and alerts > Event user log,_docs/_user_guide/administrative/app_settings/event_user_log_tab.md,_docs/_user_guide/administer/global/workspace_settings/logs_and_alerts/event_user_log.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Exports log,Bre,Done,move + redirect,Administer > Global > Workspace settings > Logs and alerts > Exports log,_docs/_user_guide/administrative/app_settings/exports_log.md,_docs/_user_guide/administer/global/workspace_settings/logs_and_alerts/exports_log.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Message activity log,Bre,Done,move + redirect,Administer > Global > Workspace settings > Logs and alerts > Message activity log,_docs/_user_guide/administrative/app_settings/message_activity_log_tab.md,_docs/_user_guide/administer/global/workspace_settings/logs_and_alerts/message_activity_log.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Multi-language settings,Bre,Done,move + redirect,Administer > Global > Workspace settings > Multi-language settings,_docs/_user_guide/administrative/app_settings/multi_language_settings.md,_docs/_user_guide/administer/global/workspace_settings/multi_language_settings.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Push settings,Bre,Done,move + redirect,Administer > Global > Workspace settings > Push settings,_docs/_user_guide/administrative/app_settings/push_settings.md,_docs/_user_guide/administer/global/workspace_settings/push_settings.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Tags,Bre,Done,move + redirect,Administer > Global > Workspace settings > Tags,_docs/_user_guide/administrative/app_settings/tags.md,_docs/_user_guide/administer/global/workspace_settings/tags.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Company settings,Bre,Done,move + redirect,Administer > Global > Company settings,_docs/_user_guide/administrative/app_settings/company_settings.md,_docs/_user_guide/administer/global/company_settings.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Contact information,Bre,Done,move + redirect,Administer > Global > Company settings > Contact information,_docs/_user_guide/administrative/app_settings/company_settings/contact_information.md,_docs/_user_guide/administer/global/company_settings/contact_information.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Notification preferences,Bre,Done,move + redirect,Administer > Global > Company settings > Notification preferences,_docs/_user_guide/administrative/app_settings/company_settings/notification_preferences.md,_docs/_user_guide/administer/global/company_settings/notification_preferences.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Security settings,Bre,Done,move + redirect,Administer > Global > Company settings > Security settings,_docs/_user_guide/administrative/app_settings/company_settings/security_settings.md,_docs/_user_guide/administer/global/company_settings/security_settings.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
NONE (unchanged),Unification,,Not started,none,Data > Unification,_docs/_user_guide/data/unification.md,_docs/_user_guide/data/unification.md,,no,,
1 - Administer,Billing,Bre,Done,move + redirect,Administer > Global > Billing,_docs/_user_guide/administrative/app_settings/subscription_and_usage.md,_docs/_user_guide/administer/global/billing.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Message Usage Dashboard,Bre,Done,rename + redirect,Administer > Global > Billing > Message Usage Dashboard,_docs/_user_guide/message_building_by_channel/sms_mms_rcs/message_usage.md,_docs/_user_guide/administer/global/billing/message_usage_dashboard.md,"renaming to ""Credits dashboard"" soon""",yes,https://github.com/braze-inc/braze-docs/pull/12255,
1 - Administer,Privacy,Bre,Done,move + redirect,Administer > Global > Privacy,_docs/_user_guide/administrative/privacy.md,_docs/_user_guide/administer/global/privacy.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Data,Bre,Done,archive + redirect,Data,_docs/_user_guide/data.md,_docs/_user_guide/data.md,landing page becomes introduction to BDP. Remove BDP article,yes,https://github.com/braze-inc/braze-docs/pull/12255,Landing page rewritten. BDP article content absorbed. Layout changed from dev_guide to standard article.
2 - Data,Cloud Data Ingestion,Bre,Done,rename + redirect,Data > Unification > Cloud Data Ingestion,_docs/_user_guide/data/unification/cloud_ingestion.md,_docs/_user_guide/data/unification/cloud_data_ingestion.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Best practices,Bre,Done,move + redirect,Data > Unification > Cloud Data Ingestion > Best practices,_docs/_user_guide/data/unification/cloud_ingestion/best_practices.md,_docs/_user_guide/data/unification/cloud_data_ingestion/best_practices.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Connected Sources,Bre,Done,move + redirect,Data > Unification > Cloud Data Ingestion > Connected Sources,_docs/_user_guide/data/unification/cloud_ingestion/connected_sources.md,_docs/_user_guide/data/unification/cloud_data_ingestion/connected_sources.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Data warehouse integrations,Bre,Done,move + redirect,Data > Unification > Cloud Data Ingestion > Data warehouse integrations,_docs/_user_guide/data/unification/cloud_ingestion/integrations.md,_docs/_user_guide/data/unification/cloud_data_ingestion/data_warehouse_integrations.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,File storage integrations,Bre,Done,move + redirect,Data > Unification > Cloud Data Ingestion > File storage integrations,_docs/_user_guide/data/unification/cloud_ingestion/file_storage_integrations.md,_docs/_user_guide/data/unification/cloud_data_ingestion/file_storage_integrations.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Sync and delete account data,Bre,Done,move + redirect,Data > Unification > Cloud Data Ingestion > Sync and delete account data,_docs/_user_guide/data/unification/cloud_ingestion/sync_accounts_data.md,_docs/_user_guide/data/unification/cloud_data_ingestion/sync_and_delete_account_data.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
2 - Data,Sync and delete catalog data,Bre,Done,move + redirect,Data > Unification > Cloud Data Ingestion > Sync and delete catalog data,_docs/_user_guide/data/unification/cloud_ingestion/sync_catalogs_data.md,_docs/_user_guide/data/unification/cloud_data_ingestion/sync_and_delete_catalog_data.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
NONE (unchanged),Data Transformation,,Not started,none,Data > Unification > Data Transformation,_docs/_user_guide/data/unification/data_transformation.md,_docs/_user_guide/data/unification/data_transformation.md,,no,,
2 - Data,Zero-copy personalization,Bre,Done,move + redirect,Data > Unification > Cloud Data Ingestion > Zero-copy personalization,_docs/_user_guide/data/unification/cloud_ingestion/zero_copy_sync.md,_docs/_user_guide/data/unification/cloud_data_ingestion/zero_copy_personalization.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
NONE (unchanged),User data,,Not started,none,Data > Unification > User data,_docs/_user_guide/data/unification/user_data.md,_docs/_user_guide/data/unification/user_data.md,,no,,
NONE (unchanged),SDK data collection,,Not started,none,Data > Unification > User data > SDK data collection,_docs/_user_guide/data/unification/user_data/sdk_data_collection.md,_docs/_user_guide/data/unification/user_data/sdk_data_collection.md,,no,,
NONE (unchanged),User profile lifecycle,,Not started,none,Data > Unification > User data > User profile lifecycle,_docs/_user_guide/data/unification/user_data/user_profile_lifecycle.md,_docs/_user_guide/data/unification/user_data/user_profile_lifecycle.md,,no,,
2 - Data,Sync logs and observability,Bre,Done,move + redirect,Data > Unification > Cloud Data Ingestion > Sync logs and observability,_docs/_user_guide/data/unification/cloud_ingestion/sync_logs.md,_docs/_user_guide/data/unification/cloud_data_ingestion/sync_logs_and_observability.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
NONE (unchanged),Collection use case,,Not started,none,Data > Unification > User data > Collection use case,_docs/_user_guide/data/unification/user_data/collection_use_case.md,_docs/_user_guide/data/unification/user_data/collection_use_case.md,,no,,
2 - Data,Delete users with CDI,Bre,Done,move + redirect,Data > Unification > Cloud Data Ingestion > Delete users with CDI,_docs/_user_guide/data/unification/cloud_ingestion/delete_users.md,_docs/_user_guide/data/unification/cloud_data_ingestion/delete_users_with_cdi.md,,yes,https://github.com/braze-inc/braze-docs/pull/12255,
